DontSleepOnTheGrind,9,0.475,103.9
TeamLumbee,6,0.525,108.1
SamNelson,5,0.590,108.7
BallSoHard,5,0.590,111.5
TeamPillagePeople,7,0.557,116.4
SoulSnatchers,8,0.462,103.2
BugBoy,6,0.484,111.9
RoadToGlory,6,0.541,116.3
HoosierDaddy,5,0.590,119.6
DakDynasty,8,0.475,105.9
TeamDrip,9,0.361,103
TheHeisenberg,7,0.525,111.8
